string=1884584176698964e+085  ryuVal=1.88458417669896381E+100  cs=1.88458417669896419E+100
string=4247198182169080e+030  ryuVal=4.24719818216907968E+45  cs=4.24719818216908032E+45
string=3369227966057536e+056  ryuVal=3.36922796605753575E+71  cs=3.36922796605753625E+71
string=13170056407792342e+028  ryuVal=1.3170056407792341E+44  cs=1.3170056407792343E+44
string=12187887636862996e+056  ryuVal=1.2187887636862995E+72  cs=1.2187887636862997E+72
string=6382705805844976e+028  ryuVal=6.3827058058449755E+43  cs=6.3827058058449765E+43
string=15662690018966040e+084  ryuVal=1.5662690018966039E+100  cs=1.5662690018966041E+100
string=9683645434633369e+083  ryuVal=9.68364543463336839E+98  cs=9.68364543463336961E+98
string=11425965903693056e+085  ryuVal=1.14259659036930552E+101  cs=1.14259659036930568E+101
string=8027480159482220e+056  ryuVal=8.02748015948221951E+71  cs=8.02748015948222049E+71
string=5866695905586640e+057  ryuVal=5.86669590558663961E+72  cs=5.86669590558664039E+72
string=5424031772093220e+028  ryuVal=5.4240317720932195E+43  cs=5.4240317720932205E+43
string=2647329213100490e+029  ryuVal=2.6473292131004898E+44  cs=2.6473292131004902E+44
string=7283335033250771e+028  ryuVal=7.2833350332507705E+43  cs=7.2833350332507715E+43
string=8913380461950920e+029  ryuVal=8.91338046195091921E+44  cs=8.91338046195092079E+44
string=7069914358914558e+028  ryuVal=7.0699143589145575E+43  cs=7.0699143589145585E+43
string=6699628238585344e+057  ryuVal=6.69962823858534361E+72  cs=6.69962823858534439E+72
string=4162468567208167e+056  ryuVal=4.16246856720816675E+71  cs=4.16246856720816725E+71
string=6160030700865972e+056  ryuVal=6.16003070086597151E+71  cs=6.16003070086597249E+71
string=6977272349584912e+057  ryuVal=6.97727234958491161E+72  cs=6.97727234958491239E+72
string=16733287062117192e+028  ryuVal=1.6733287062117191E+44  cs=1.6733287062117193E+44
string=3031048296139072e+031  ryuVal=3.03104829613907175E+46  cs=3.03104829613907225E+46
string=6854140978364892e+056  ryuVal=6.85414097836489151E+71  cs=6.85414097836489249E+71
string=15874497514930598e+028  ryuVal=1.5874497514930597E+44  cs=1.5874497514930599E+44
string=5593059341289361e+028  ryuVal=5.5930593412893605E+43  cs=5.5930593412893615E+43
string=5267659776063630e+056  ryuVal=5.26765977606362951E+71  cs=5.26765977606363049E+71
string=2253648885842350e+084  ryuVal=2.25364888584234976E+99  cs=2.25364888584235024E+99
string=7092110911484594e+028  ryuVal=7.0921109114845935E+43  cs=7.0921109114845945E+43
string=4306675857850760e+057  ryuVal=4.30667585785075961E+72  cs=4.30667585785076039E+72
string=3301242937315018e+029  ryuVal=3.3012429373150178E+44  cs=3.3012429373150182E+44
string=6792176275585200e+057  ryuVal=6.79217627558519961E+72  cs=6.79217627558520039E+72
string=16616896831594412e+056  ryuVal=1.6616896831594411E+72  cs=1.6616896831594413E+72
string=7116738232973644e+029  ryuVal=7.1167382329736436E+44  cs=7.1167382329736444E+44
string=7238941928110699e+028  ryuVal=7.2389419281106985E+43  cs=7.2389419281106995E+43
string=8580064205394809e+028  ryuVal=8.5800642053948085E+43  cs=8.5800642053948095E+43
string=6803079514348832e+084  ryuVal=6.80307951434883151E+99  cs=6.80307951434883249E+99
string=11852751195690944e+029  ryuVal=1.18527511956909432E+45  cs=1.18527511956909448E+45
string=1341622169772306e+084  ryuVal=1.34162216977230588E+99  cs=1.34162216977230612E+99
string=4399223894850616e+057  ryuVal=4.39922389485061561E+72  cs=4.39922389485061639E+72
string=17115735305649546e+028  ryuVal=1.7115735305649545E+44  cs=1.7115735305649547E+44
string=1722670343140304e+058  ryuVal=1.72267034314030384E+73  cs=1.72267034314030416E+73
string=17042922658315760e+084  ryuVal=1.7042922658315759E+100  cs=1.7042922658315761E+100
string=8726895222020914e+028  ryuVal=8.7268952220209135E+43  cs=8.7268952220209145E+43
string=17725255924724002e+028  ryuVal=1.7725255924724001E+44  cs=1.7725255924724003E+44
string=2531774436234368e+058  ryuVal=2.53177443623436784E+73  cs=2.53177443623436816E+73
string=6878690237148381e+028  ryuVal=6.8786902371483805E+43  cs=6.8786902371483815E+43
string=6169321390583860e+084  ryuVal=6.16932139058385951E+99  cs=6.16932139058386049E+99
string=2485471294659534e+029  ryuVal=2.4854712946595338E+44  cs=2.4854712946595342E+44
string=4360795218490570e+056  ryuVal=4.36079521849056975E+71  cs=4.36079521849057025E+71
string=9771637220687252e+083  ryuVal=9.77163722068725139E+98  cs=9.77163722068725261E+98
string=8873726238647019e+028  ryuVal=8.8737262386470185E+43  cs=8.8737262386470195E+43
string=10667493316996208e+056  ryuVal=1.0667493316996207E+72  cs=1.0667493316996209E+72
string=1441753093695828e+030  ryuVal=1.44175309369582784E+45  cs=1.44175309369582816E+45
string=5712982951846528e+085  ryuVal=5.71298295184652761E+100  cs=5.71298295184652839E+100
string=13939652049229424e+056  ryuVal=1.3939652049229423E+72  cs=1.3939652049229425E+72
string=4970942589319068e+029  ryuVal=4.9709425893190676E+44  cs=4.9709425893190684E+44
string=3691484022899323e+056  ryuVal=3.69148402289932275E+71  cs=3.69148402289932325E+71
string=4278153613457987e+056  ryuVal=4.27815361345798675E+71  cs=4.27815361345798725E+71
string=9049615730647129e+083  ryuVal=9.04961573064712839E+98  cs=9.04961573064712961E+98
string=11775060822068840e+084  ryuVal=1.1775060822068839E+100  cs=1.1775060822068841E+100
string=4000209798606342e+084  ryuVal=4.00020979860634176E+99  cs=4.00020979860634224E+99
string=11884425511933322e+028  ryuVal=1.1884425511933321E+44  cs=1.1884425511933323E+44
string=3394027047965209e+056  ryuVal=3.39402704796520875E+71  cs=3.39402704796520925E+71
string=10282111790899344e+084  ryuVal=1.0282111790899343E+100  cs=1.0282111790899345E+100
string=8411036636198668e+028  ryuVal=8.4110366361986675E+43  cs=8.4110366361986685E+43
string=6143541982246844e+056  ryuVal=6.14354198224684351E+71  cs=6.14354198224684449E+71
string=13463718441044552e+028  ryuVal=1.3463718441044551E+44  cs=1.3463718441044553E+44
string=11887777213888616e+084  ryuVal=1.1887777213888615E+100  cs=1.1887777213888617E+100
string=2059317546291589e+029  ryuVal=2.0593175462915888E+44  cs=2.0593175462915892E+44
string=13439901375861840e+029  ryuVal=1.34399013758618392E+45  cs=1.34399013758618408E+45
string=8095178050376422e+028  ryuVal=8.0951780503764215E+43  cs=8.0951780503764225E+43
string=13493442636877888e+084  ryuVal=1.3493442636877887E+100  cs=1.3493442636877889E+100
string=10317403558398341e+083  ryuVal=1.03174035583983404E+99  cs=1.03174035583983416E+99
string=5277200755467115e+028  ryuVal=5.2772007554671145E+43  cs=5.2772007554671155E+43
string=3831968151056816e+056  ryuVal=3.83196815105681575E+71  cs=3.83196815105681625E+71
string=4204372468669052e+084  ryuVal=4.20437246866905176E+99  cs=4.20437246866905224E+99
string=8988760283028889e+028  ryuVal=8.98876028302888801E+43  cs=8.98876028302888999E+43
string=5717693805345430e+028  ryuVal=5.7176938053454295E+43  cs=5.7176938053454305E+43
string=3633641499774413e+056  ryuVal=3.63364149977441275E+71  cs=3.63364149977441325E+71
string=2743775084103488e+085  ryuVal=2.74377508410348781E+100  cs=2.74377508410348819E+100
string=5028339503629896e+084  ryuVal=5.02833950362989551E+99  cs=5.02833950362989649E+99
string=3843935672851480e+057  ryuVal=3.84393567285147961E+72  cs=3.84393567285148039E+72
string=17013418126201256e+056  ryuVal=1.7013418126201255E+72  cs=1.7013418126201257E+72
string=3887493406786566e+084  ryuVal=3.88749340678656576E+99  cs=3.88749340678656624E+99
string=13528687586141984e+029  ryuVal=1.35286875861419832E+45  cs=1.35286875861419848E+45
string=6596126480181189e+028  ryuVal=6.5961264801811885E+43  cs=6.5961264801811895E+43
string=8771288327160986e+028  ryuVal=8.7712883271609855E+43  cs=8.7712883271609865E+43
string=8521461329157880e+084  ryuVal=8.52146132915787951E+99  cs=8.52146132915788049E+99
string=5036289683563990e+056  ryuVal=5.03628968356398951E+71  cs=5.03628968356399049E+71
string=12538339236147850e+028  ryuVal=1.2538339236147849E+44  cs=1.2538339236147851E+44
string=6440998957180958e+056  ryuVal=6.44099895718095751E+71  cs=6.44099895718095849E+71
string=4311197054675224e+056  ryuVal=4.31119705467522375E+71  cs=4.31119705467522425E+71
string=12178087545185532e+028  ryuVal=1.2178087545185531E+44  cs=1.2178087545185533E+44
string=13954544699169824e+057  ryuVal=1.39545446991698232E+73  cs=1.39545446991698248E+73
string=14838135547183716e+028  ryuVal=1.4838135547183715E+44  cs=1.4838135547183717E+44
string=8258850251981860e+056  ryuVal=8.25885025198185951E+71  cs=8.25885025198186049E+71
string=9237096298832832e+029  ryuVal=9.23709629883283121E+44  cs=9.23709629883283279E+44
string=5052681804845884e+028  ryuVal=5.0526818048458835E+43  cs=5.0526818048458845E+43
string=16848266924094052e+056  ryuVal=1.6848266924094051E+72  cs=1.6848266924094053E+72
string=15220583790716070e+028  ryuVal=1.5220583790716069E+44  cs=1.5220583790716071E+44
string=2884670573878208e+086  ryuVal=2.88467057387820769E+101  cs=2.88467057387820831E+101
string=3943851602696454e+084  ryuVal=3.94385160269645376E+99  cs=3.94385160269645424E+99
string=13476911864230144e+056  ryuVal=1.3476911864230143E+72  cs=1.3476911864230145E+72
string=14117632165259080e+028  ryuVal=1.4117632165259079E+44  cs=1.4117632165259081E+44
string=10443418748084050e+028  ryuVal=1.0443418748084049E+44  cs=1.0443418748084051E+44
string=11524173820971004e+028  ryuVal=1.1524173820971003E+44  cs=1.1524173820971005E+44
string=9113394747084958e+028  ryuVal=9.11339474708495701E+43  cs=9.11339474708495899E+43
string=7132583123703824e+057  ryuVal=7.13258312370382322E+72  cs=7.13258312370382478E+72
string=15153994133005962e+028  ryuVal=1.5153994133005961E+44  cs=1.5153994133005963E+44
string=9495842990617312e+028  ryuVal=9.49584299061731101E+43  cs=9.49584299061731299E+43
string=10870260096756476e+028  ryuVal=1.0870260096756475E+44  cs=1.0870260096756477E+44
string=17836238687574182e+028  ryuVal=1.7836238687574181E+44  cs=1.7836238687574183E+44
string=8591162481679827e+028  ryuVal=8.5911624816798265E+43  cs=8.5911624816798275E+43
string=10528746793060421e+083  ryuVal=1.05287467930604204E+99  cs=1.05287467930604216E+99
string=11592973686994768e+056  ryuVal=1.1592973686994767E+72  cs=1.1592973686994769E+72
string=4507297771684700e+084  ryuVal=4.50729777168469951E+99  cs=4.50729777168470049E+99
string=2691672411156725e+056  ryuVal=2.69167241115672475E+71  cs=2.69167241115672525E+71
string=5253772287269448e+084  ryuVal=5.25377228726944751E+99  cs=5.25377228726944849E+99
string=2823526433051816e+029  ryuVal=2.8235264330518158E+44  cs=2.8235264330518162E+44
string=7887703205392908e+084  ryuVal=7.88770320539290751E+99  cs=7.88770320539290849E+99
string=5063780081130902e+028  ryuVal=5.0637800811309015E+43  cs=5.0637800811309025E+43
string=17409397338901756e+028  ryuVal=1.7409397338901755E+44  cs=1.7409397338901757E+44
string=10171953267401876e+028  ryuVal=1.0171953267401875E+44  cs=1.0171953267401877E+44
string=3402271407274773e+056  ryuVal=3.40227140727477275E+71  cs=3.40227140727477325E+71
string=13840455721598732e+056  ryuVal=1.3840455721598731E+72  cs=1.3840455721598733E+72
string=10867482040936320e+058  ryuVal=1.08674820409363194E+74  cs=1.08674820409363206E+74
string=5920016203396625e+028  ryuVal=5.9200162033966245E+43  cs=5.9200162033966255E+43
string=13823970132006870e+028  ryuVal=1.3823970132006869E+44  cs=1.3823970132006871E+44
string=12079286447893728e+085  ryuVal=1.20792864478937272E+101  cs=1.20792864478937288E+101
string=10465615300654086e+028  ryuVal=1.0465615300654085E+44  cs=1.0465615300654087E+44
string=15830104409790526e+028  ryuVal=1.5830104409790525E+44  cs=1.5830104409790527E+44
string=16417428476294946e+028  ryuVal=1.6417428476294945E+44  cs=1.6417428476294947E+44
string=10803670439046368e+028  ryuVal=1.0803670439046367E+44  cs=1.0803670439046369E+44
string=8915728904629780e+056  ryuVal=8.91572890462977902E+71  cs=8.91572890462978098E+71
string=9135591299654994e+028  ryuVal=9.13559129965499301E+43  cs=9.13559129965499499E+43
string=15514245823968280e+028  ryuVal=1.5514245823968279E+44  cs=1.5514245823968281E+44
string=8568965929109791e+028  ryuVal=8.5689659291097905E+43  cs=8.5689659291097915E+43
string=11435387610690860e+028  ryuVal=1.1435387610690859E+44  cs=1.1435387610690861E+44
string=7432566209613992e+056  ryuVal=7.43256620961399151E+71  cs=7.43256620961399249E+71
string=8024537111134624e+030  ryuVal=8.02453711113462337E+45  cs=8.02453711113462463E+45
string=4345267958443772e+084  ryuVal=4.34526795844377176E+99  cs=4.34526795844377224E+99
string=6859437710258720e+084  ryuVal=6.85943771025871951E+99  cs=6.85943771025872049E+99
string=14057024595976768e+084  ryuVal=1.4057024595976767E+100  cs=1.4057024595976769E+100
string=13831591812337216e+084  ryuVal=1.3831591812337215E+100  cs=1.3831591812337217E+100
string=16888662930107444e+028  ryuVal=1.6888662930107443E+44  cs=1.6888662930107445E+44
string=14815938994613680e+028  ryuVal=1.4815938994613679E+44  cs=1.4815938994613681E+44
